Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
ETRN;Equitrans Midstream Corporation Common Stock ;$10.27;0.23;2291%;4441785270.00;;2018;1340709;Energy;Oilfield Services/Equipment
FANG;Diamondback Energy Inc. Commmon Stock;$109.1464;19.864;1854%;19774549795.00;United States;2012;687274;Energy;Oil & Gas Production
FET;Forum Energy Technologies Inc. Common Stock;$21.50;0.22;1034%;122129073.00;United States;2012;2005;Energy;Metal Fabrications
FLMN;Falcon Minerals Corporation Class A Common Stock;$5.73;0.01;0.175%;268933149.00;United States;2017;228869;Energy;Oil & Gas Production
FLMNW;Falcon Minerals Corporation Warrant;$0.1729;0.008;4851%;0.00;United States;2017;8700;Energy;Oil & Gas Production
FTI;TechnipFMC plc Ordinary Share;$7.08;0.06;0.855%;3190959398.00;;;1212896;Energy;Metal Fabrications
FTK;Flotek Industries Inc. Common Stock;$1.01;0.00;0.00%;74839241.00;United States;;198323;Energy;Oilfield Services/Equipment
FTSI;FTS International Inc. Class A Common Stock;$26.4515;0.0015;0.006%;371951550.00;United States;2020;67725;Energy;Oilfield Services/Equipment
GDP;Goodrich Petroleum Corporation Common Stock;$21.39;0.56;2688%;291095334.00;United States;2017;10032;Energy;Oil & Gas Production
GEL;Genesis Energy L.P. Common Units;$13.05;0.19;1477%;1599658795.00;United States;1996;231497;Energy;Oil Refining/Marketing
GLNG;Golar Lng Ltd;$12.89;-0.03;-0.232%;1417172927.00;Bermuda;;565380;Energy;Oilfield Services/Equipment
GLOP;GasLog Partners LP Common Units representing limited partnership interests;$5.44;0.29;5631%;293078341.00;;2014;170387;Energy;Oil & Gas Production
GLP;Global Partners LP Global Partners LP Common Units representing Limited Partner Interests;$22.45;-0.05;-0.222%;763200389.00;United States;2005;19026;Energy;Oil Refining/Marketing
GPOR;Gulfport Energy Corporation Common Shares;$81.02;1.75;2208%;1667874803.00;United States;2021;9827;Energy;Oil & Gas Production
GPRK;Geopark Ltd Common Shares;$13.78;-0.14;-1006%;841643375.00;Bermuda;2014;67393;Energy;Oil & Gas Production
GTE;Gran Tierra Energy Inc. Common Stock;$0.8499;0.021;2533%;312036111.00;Canada;;1670510;Energy;Oil & Gas Production
HAL;Halliburton Company Common Stock;$23.72;-0.11;-0.462%;21232154746.00;United States;;4045132;Energy;Oil & Gas Production
HES;Hess Corporation Common Stock;$82.20;0.40;0.489%;25459550687.00;United States;;262984;Energy;Oil & Gas Production
HESM;Hess Midstream LP Class A Share;$25.45;0.25;0.992%;856733963.00;United States;2017;111671;Energy;Oilfield Services/Equipment
HFC;HollyFrontier Corporation Common Stock;$33.91;0.41;1224%;5510247329.00;United States;;343514;Energy;Integrated oil Companies
HLX;Helix Energy Solutions Group Inc. Common Stock;$3.88;0.05;1305%;585448102.00;United States;;319502;Energy;Oilfield Services/Equipment
HNRG;Hallador Energy Company Common Stock;$2.655;0.005;0.189%;81276379.00;United States;;80427;Energy;Coal Mining
HP;Helmerich & Payne Inc. Common Stock;$33.88;0.53;1589%;3655610734.00;United States;;159324;Energy;Oil & Gas Production
HPK;HighPeak Energy Inc. Common Stock;$13.60;-0.20;-1449%;1295722007.00;United States;;41507;Energy;Oil & Gas Production
HPKEW;HighPeak Energy Inc. Warrant;$4.05;-0.49;-10793%;0.00;United States;;404;Energy;Oil & Gas Production
HUSA;Houston American Energy Corporation Common Stock;$1.895;-0.015;-0.785%;18804726.00;United States;;17267;Energy;Oil & Gas Production
ICD;Independence Contract Drilling Inc. Common Stock;$3.77;0.01;0.266%;36052710.00;;2014;37756;Energy;Oil & Gas Production
INDO;Indonesia Energy Corporation Limited Ordinary Shares;$4.01;0.00;0.00%;29846250.00;;2019;354;Energy;Oil & Gas Production
INT;World Fuel Services Corporation Common Stock;$28.08;0.22;0.79%;1773803351.00;United States;;76610;Energy;Oil Refining/Marketing
