Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
PAGP;Plains GP Holdings L.P. Class A Units representing Limited Partner Interests;$11.40;0.00;0.00%;2213223531.00;United States;;503898;Energy;Oil & Gas Production
PARR;Par Pacific Holdings Inc.  Common Stock;$15.615;-0.055;-0.351%;939883542.00;United States;;85130;Energy;Integrated oil Companies
PBA;Pembina Pipeline Corp. Ordinary Shares (Canada);$33.025;-0.385;-1152%;18172171375.00;Canada;;338795;Energy;Oil & Gas Production
PBF;PBF Energy Inc. Class A Common Stock;$15.255;0.295;1972%;1834345484.00;United States;2012;667311;Energy;Integrated oil Companies
PBR;Petroleo Brasileiro S.A.- Petrobras Common Stock;$10.18;0.15;1496%;66394984413.00;Brazil;;7610242;Energy;Oil & Gas Production
PBT;Permian Basin Royalty Trust Common Stock;$8.35;0.10;1212%;389183447.00;United States;;102913;Energy;Oil & Gas Production
PDCE;PDC Energy Inc. Common Stock (Delaware);$57.225;0.715;1265%;5572634077.00;United States;;123957;Energy;Oil & Gas Production
PFIE;Profire Energy Inc. Common Stock;$1.1699;-0.0101;-0.856%;56278945.00;United States;;26830;Energy;Oil & Gas Production
PHX;PHX Minerals Inc. Common Stock;$3.10;-0.06;-1899%;101524439.00;United States;;128702;Energy;Oil & Gas Production
PNRG;PrimeEnergy Resources Corporation Common Stock;$70.18;0.30;0.429%;139951342.00;United States;;708;Energy;Oil & Gas Production
PRT;PermRock Royalty Trust Trust Units;$7.15;0.20;2878%;86984984.00;United States;2018;17577;Energy;Oil & Gas Production
PSX;Phillips 66 Common Stock;$78.50;0.97;1251%;34396367687.00;United States;;545283;Energy;Integrated oil Companies
PSXP;Phillips 66 Partners LP Common Units representing limited partner interest in the Partnership;$38.93;0.54;1407%;8889281884.00;United States;2013;310152;Energy;Oil & Gas Production
PTEN;Patterson-UTI Energy Inc. Common Stock;$9.13;0.05;0.551%;1963974349.00;United States;1993;764352;Energy;Oil & Gas Production
PTR;PetroChina Company Limited Common Stock;$45.84;1.00;2.23%;83896816224.00;China;;46696;Energy;Oil & Gas Production
PUMP;ProPetro Holding Corp. Common Stock;$9.46;0.00;0.00%;977892640.00;United States;2017;107987;Energy;Oilfield Services/Equipment
PVL;Permianville Royalty Trust Trust Units ;$2.3016;0.0516;2293%;75952800.00;United States;2011;62492;Energy;Oil & Gas Production
PXD;Pioneer Natural Resources Company Common Stock;$183.95;1.67;0.916%;44908394299.00;United States;;561326;Energy;Oil & Gas Production
RCON;Recon Technology Ltd. Class A Ordinary Shares;$2.09;-0.04;-1878%;15053919.00;China;2009;800206;Energy;Oilfield Services/Equipment
REI;Ring Energy Inc. Common Stock;$3.46;-0.06;-1705%;343754962.00;United States;;678297;Energy;Oil & Gas Production
REPX;Riley Exploration Permian Inc. Common Stock;$24.635;0.185;0.757%;479126854.00;United States;;1607;Energy;Oil & Gas Production
RES;RPC Inc. Common Stock;$5.285;-0.005;-0.095%;1140108929.00;United States;;170734;Energy;Oilfield Services/Equipment
RIG;Transocean Ltd (Switzerland) Common Stock;$3.455;0.005;0.145%;2264769226.00;Switzerland;;5679738;Energy;Oil & Gas Production
RNGR;Ranger Energy Services Inc. Class A Common Stock;$10.94;0.15;1.39%;195790051.00;United States;2017;17028;Energy;Oilfield Services/Equipment
ROCC;Ranger Oil Corporation Class A Common Stock;$31.02;0.79;2613%;654157608.00;United States;;191885;Energy;Oil & Gas Production
RRC;Range Resources Corporation Common Stock;$23.71;1.11;4912%;6159734423.00;United States;;1165767;Energy;Oil & Gas Production
RTLR;Rattler Midstream LP Common Units;$11.80;0.20;1724%;470888062.00;United States;2019;64249;Energy;Oilfield Services/Equipment
