Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
EAF;GrafTech International Ltd. Common Stock;$12.925;0.475;3815%;3402147038.00;United States;2018;502142;Consumer Durables;Metal Fabrications
EFOI;Energy Focus Inc. Common Stock;$2.87;-0.10;-3367%;14594736.00;United States;;63460;Consumer Durables;Building Products
EOLS;Evolus Inc. Common Stock;$7.38;-0.08;-1072%;410158171.00;United States;2018;100036;Consumer Durables;Specialty Chemicals
ETD;Ethan Allen Interiors Inc. Common Stock;$24.89;0.21;0.851%;628722296.00;United States;;127581;Consumer Durables;Home Furnishings
EVLO;Evelo Biosciences Inc. Common Stock;$10.605;0.105;1.00%;566942749.00;United States;2018;43990;Consumer Durables;Specialty Chemicals
FBHS;Fortune Brands Home & Security Inc. Common Stock;$103.06;-0.05;-0.048%;13988781699.00;United States;;102997;Consumer Durables;Building Products
FELE;Franklin Electric Co. Inc. Common Stock;$94.15;-0.46;-0.486%;4371454453.00;United States;;13664;Consumer Durables;Metal Fabrications
FERG;Ferguson plc Ordinary Shares;$155.5411;13.911;0.902%;34452335141.00;;2021;5881;Consumer Durables;Industrial Machinery/Components
FHTX;Foghorn Therapeutics Inc. Common Stock;$13.40;-0.43;-3109%;494954272.00;United States;2020;1829;Consumer Durables;Specialty Chemicals
FLXS;Flexsteel Industries Inc. Common Stock;$29.20;-0.01;-0.034%;197560484.00;United States;;11831;Consumer Durables;Home Furnishings
GCP;GCP Applied Technologies Inc. Common Stock;$22.345;0.535;2453%;1642507010.00;;2016;61773;Consumer Durables;Industrial Specialties
GE;General Electric Company Common Stock;$108.26;-0.70;-0.642%;118884325477.00;United States;;1837773;Consumer Durables;Metal Fabrications
GHSI;Guardion Health Sciences Inc. Common Stock;$1.265;-0.035;-2692%;30900146.00;United States;2019;269659;Consumer Durables;Specialty Chemicals
GIL;Gildan Activewear Inc. Class A Sub. Vot. Common Stock;$42.15;0.07;0.166%;8173758896.00;Canada;1998;110906;Consumer Durables;Building Products
GNRC;Generac Holdlings Inc. Common Stock;$444.075;3.685;0.837%;28016679760.00;United States;2010;202571;Consumer Durables;Metal Fabrications
GRPH;Graphite Bio Inc. Common Stock;$12.65;0.71;5946%;734699375.00;United States;2021;63478;Consumer Durables;Specialty Chemicals
GRTX;Galera Therapeutics Inc. Common Stock;$1.622;-0.118;-6782%;42765055.00;United States;2019;1562031;Consumer Durables;Specialty Chemicals
GT;The Goodyear Tire & Rubber Company Common Stock;$23.3819;0.3119;1352%;6577154298.00;United States;;789383;Consumer Durables;Automotive Aftermarket
HAPP;Happiness Biotech Group Limited Ordinary Shares;$0.8872;0.0116;1325%;28348724.00;China;2019;30912;Consumer Durables;Specialty Chemicals
HNI;HNI Corporation Common Stock;$40.56;0.35;0.87%;1766767601.00;United States;;29176;Consumer Durables;Office Equipment/Supplies/Services
HOFT;Hooker Furnishings Corporation Common Stock;$26.52;0.17;0.645%;316224109.00;United States;;2077;Consumer Durables;Home Furnishings
HOTH;Hoth Therapeutics Inc. Common Stock;$1.03;-0.03;-2.83%;24589835.00;United States;2019;97784;Consumer Durables;Specialty Chemicals
HRTX;Heron Therapeutics Inc. Common Stock;$11.56;-0.06;-0.516%;1178373236.00;United States;;306589;Consumer Durables;Specialty Chemicals
HSTO;Histogen Inc. Common Stock;$0.628;-0.0117;-1829%;26205973.00;United States;2013;716042;Consumer Durables;Specialty Chemicals
IMNM;Immunome Inc. Common Stock;$18.21;-0.35;-1886%;220219594.00;United States;2020;33060;Consumer Durables;Specialty Chemicals
INKT;MiNK Therapeutics Inc. Common Stock;$19.81;0.81;4263%;645554433.00;United States;2021;10103;Consumer Durables;Specialty Chemicals
IPSC;Century Therapeutics Inc. Common Stock;$20.895;-0.115;-0.547%;1136773481.00;United States;2021;82287;Consumer Durables;Specialty Chemicals
ITOS;iTeos Therapeutics Inc. Common Stock;$29.02;-0.41;-1393%;1021787090.00;United States;2020;118242;Consumer Durables;Specialty Chemicals
JZXN;Jiuzi Holdings Inc. Ordinary Shares;$2.30;0.02;0.877%;49281741.00;China;2021;163371;Consumer Durables;Automotive Aftermarket
KBAL;Kimball International Inc. Class B Common Stock;$11.10;0.05;0.452%;409005097.00;United States;;24826;Consumer Durables;Industrial Specialties
KRBP;Kiromic BioPharma Inc. Common Stock;$2.872;0.022;0.772%;44337043.00;United States;2020;15333;Consumer Durables;Specialty Chemicals
KRON;Kronos Bio Inc. Common Stock;$16.97;-0.53;-3029%;954633570.00;United States;2020;54884;Consumer Durables;Specialty Chemicals
KROS;Keros Therapeutics Inc. Common Stock;$59.22;-0.19;-0.32%;1385668468.00;United States;2020;25831;Consumer Durables;Specialty Chemicals
KYMR;Kymera Therapeutics Inc. Common Stock;$61.93;-1.91;-2992%;3160895867.00;United States;2020;69263;Consumer Durables;Specialty Chemicals
LABP;Landos Biopharma Inc. Common Stock;$14.94;0.36;2469%;599356914.00;United States;2021;21580;Consumer Durables;Specialty Chemicals
LCUT;Lifetime Brands Inc. Common Stock;$18.62;-0.13;-0.693%;409978754.00;United States;1991;2836;Consumer Durables;Home Furnishings
LEG;Leggett & Platt Incorporated Common Stock;$43.45;-0.31;-0.708%;5795239253.00;United States;;190490;Consumer Durables;Home Furnishings
LGVN;Longeveron Inc. Class A Common Stock;$3.4993;-0.0207;-0.588%;66887825.00;United States;2021;12748;Consumer Durables;Specialty Chemicals
LYRA;Lyra Therapeutics Inc. Common Stock;$6.9787;-0.0013;-0.019%;90730811.00;United States;2020;23341;Consumer Durables;Specialty Chemicals
LYTS;LSI Industries Inc. Common Stock;$8.01;0.02;0.25%;215631106.00;United States;1985;18066;Consumer Durables;Building Products
LZB;La-Z-Boy Incorporated Common Stock;$36.78;0.43;1183%;1630206597.00;United States;;81006;Consumer Durables;Home Furnishings
MDWD;MediWound Ltd. Ordinary Shares;$3.20;-0.05;-1538%;87185373.00;Israel;2014;42438;Consumer Durables;Specialty Chemicals
MHK;Mohawk Industries Inc. Common Stock;$175.1325;0.1325;0.076%;11862139814.00;United States;;130224;Consumer Durables;Home Furnishings
MNTX;Manitex International Inc. Common Stock;$7.50;0.51;7296%;149300475.00;United States;;102296;Consumer Durables;Home Furnishings
MTCR;Metacrine Inc. Common Stock;$1.2093;-0.0307;-2476%;32077441.00;United States;2020;1343944;Consumer Durables;Specialty Chemicals
MTEX;Mannatech Incorporated Common Stock;$38.90;1.90;5135%;73623929.00;United States;;18697;Consumer Durables;Specialty Chemicals
MYMD;MyMD Pharmaceuticals Inc. Common Stock;$8.615;0.075;0.878%;321963881.00;United States;2014;36932;Consumer Durables;Specialty Chemicals
NEXI;NexImmune Inc. Common Stock;$11.465;0.105;0.924%;259430100.00;United States;2021;3640;Consumer Durables;Specialty Chemicals
NTZ;Natuzzi S.p.A.;$17.04;-0.15;-0.873%;186939177.00;Italy;1993;2651;Consumer Durables;Home Furnishings
NVFY;Nova Lifestyle Inc. Common Stock;$2.2101;-0.0599;-2639%;14779054.00;United States;;18416;Consumer Durables;Home Furnishings
OESX;Orion Energy Systems Inc. Common Stock;$4.10;-0.05;-1205%;127102874.00;United States;2015;40987;Consumer Durables;Building Products
OI;O-I Glass Inc. Common Stock;$12.57;0.21;1699%;1971318193.00;United States;;161849;Consumer Durables;Containers/Packaging
ONCR;Oncorus Inc. Common Stock;$10.83;0.01;0.092%;279511535.00;United States;2020;57262;Consumer Durables;Specialty Chemicals
PLRX;Pliant Therapeutics Inc. Common Stock;$16.67;0.03;0.18%;599085410.00;United States;2020;45815;Consumer Durables;Specialty Chemicals
PLUG;Plug Power Inc. Common Stock;$43.89;3.71;9233%;25208460613.00;United States;1999;21041321;Consumer Durables;Electrical Products
PMVP;PMV Pharmaceuticals Inc. Common Stock;$23.91;-0.23;-0.953%;1082932079.00;United States;2020;58482;Consumer Durables;Specialty Chemicals
PNT;POINT Biopharma Global Inc. Common Stock;$9.01;0.26;2971%;811997364.00;United States;2020;24460;Consumer Durables;Specialty Chemicals
POWL;Powell Industries Inc. Common Stock;$28.2901;0.2201;0.784%;330758598.00;United States;;3012;Consumer Durables;Electrical Products
PPSI;Pioneer Power Solutions Inc. Common Stock;$8.83;2.04;30044%;77050977.00;United States;;83069506;Consumer Durables;Electrical Products
PRLD;Prelude Therapeutics Incorporated Common Stock;$16.87;-0.29;-1.69%;794467868.00;United States;2020;75776;Consumer Durables;Specialty Chemicals
PROG;Progenity Inc. Common Stock;$3.145;-0.375;-10653%;417466202.00;United States;1995;15473823;Consumer Durables;Specialty Chemicals
PRPL;Purple Innovation Inc. Common Stock;$13.6978;-0.8022;-5532%;915282750.00;United States;2015;1084583;Consumer Durables;Home Furnishings
PSTX;Poseida Therapeutics Inc. Common Stock;$6.83;-0.19;-2707%;425772618.00;United States;2020;57060;Consumer Durables;Specialty Chemicals
PTE;PolarityTE Inc. Common Stock;$0.6073;0.0051;0.847%;49423515.00;United States;;281604;Consumer Durables;Specialty Chemicals
PTVE;Pactiv Evergreen Inc. Common stock;$14.41;0.14;0.981%;2554186535.00;United States;2020;9091;Consumer Durables;Containers/Packaging
RANI;Rani Therapeutics Holdings Inc. Class A Common Stock;$27.90;1.12;4182%;1410399238.00;United States;2021;11116;Consumer Durables;Specialty Chemicals
RRX;Regal Rexnord Corporation Common Stock;$165.90;1.75;1066%;11240841839.00;United States;;104818;Consumer Durables;Metal Fabrications
RVMD;Revolution Medicines Inc. Common Stock;$32.13;0.43;1356%;2364158879.00;United States;2020;310725;Consumer Durables;Specialty Chemicals
SANA;Sana Biotechnology Inc. Common Stock;$21.89;0.95;4537%;4133553363.00;United States;2021;104853;Consumer Durables;Specialty Chemicals
SBTX;Silverback Therapeutics Inc. Common Stock;$8.36;0.13;1.58%;292904948.00;United States;2020;108731;Consumer Durables;Specialty Chemicals
SCS;Steelcase Inc. Common Stock;$12.345;0.165;1355%;1400170925.00;United States;1998;137817;Consumer Durables;Office Equipment/Supplies/Services
SCX;L.S. Starrett Company (The) Common Stock;$11.7722;0.3222;2814%;83673878.00;United States;;5784;Consumer Durables;Home Furnishings
SEER;Seer Inc. Class A Common Stock;$30.94;-1.32;-4092%;1901401642.00;United States;2020;252337;Consumer Durables;Specialty Chemicals
SGTX;Sigilon Therapeutics Inc. Common Stock;$4.94;-0.05;-1002%;158362830.00;United States;2020;31242;Consumer Durables;Specialty Chemicals
SISI;Shineco Inc. Common Stock;$9.90;-0.22;-2174%;30066736.00;China;2016;4675;Consumer Durables;Specialty Chemicals
SLGN;Silgan Holdings Inc. Common Stock;$41.93;0.42;1012%;4629500902.00;United States;1997;218551;Consumer Durables;Containers/Packaging
SMMT;Summit Therapeutics Inc. Common Stock ;$5.07;-0.21;-3977%;416763937.00;United Kingdom;2015;72892;Consumer Durables;Specialty Chemicals
SNBR;Sleep Number Corporation Common Stock;$82.45;-2.49;-2931%;1867245150.00;United States;;182722;Consumer Durables;Home Furnishings
SNPX;Synaptogenix Inc. Common Stock;$10.78;0.34;3257%;66149336.00;United States;;41075;Consumer Durables;Specialty Chemicals
SPRB;Spruce Biosciences Inc. Common Stock;$4.40;0.05;1149%;102861075.00;United States;2020;44859;Consumer Durables;Specialty Chemicals
SQZ;SQZ Biotechnologies Company Common Stock;$14.18;-0.13;-0.908%;397712033.00;United States;2020;26518;Consumer Durables;Specialty Chemicals
SRZN;Surrozen Inc. Common Stock;$8.87;0.92;11572%;310693100.00;United States;;19987;Consumer Durables;Specialty Chemicals
SRZNW;Surrozen Inc. Warrant;$1.78;0.16;9877%;0.00;United States;;600;Consumer Durables;Specialty Chemicals
SVT;Servotronics Inc. Common Stock;$11.12;-0.56;-4795%;27707337.00;United States;;725;Consumer Durables;Metal Fabrications
TARS;Tarsus Pharmaceuticals Inc. Common Stock;$27.56;-0.54;-1922%;569694937.00;United States;2020;5708;Consumer Durables;Specialty Chemicals
